NUMBER,NAME,LOCATION,ADDRESS,COURT
46,Northern Futsal Center,Kedah,"Lot 2539, Jalan Bakar Arang, 08000 Sungai Petani, Kedah",Futsal
47,MHZ Badminton Centre,Kedah,"Kampung Pumpong, 05150 Alor Setar, Kedah",Badminton
48,SNA Sport Centre,Kedah,"NO. 1111, Kampung Titi Akar, 06750 Pendang, Kedah",Futsal
49,"MRC Badminton Hall, Desa Kiara",Kedah,"Desa Seraya, 05400 Alor Setar, Kedah",Badminton
50,Kombes Perlis,Perlis,"Kompleks Belia Dan Sukan Negeri Perlis, Jln Hospital, 01000 Kangar","Badminton, Futsal"
51,R7 Futsal Centre,Perlis,"Batu 1, Jalan Kampung Baroh Ayer Mata, Kampung Mata Ayer, 02500 Kangar, Perlis",Futsal
52,D' Futsal Center,Perlis,"Batu 3, Jalan Kaki Bukit, Perlis, 01000 Kangar",Futsal
53,MO Q Sport Arena,Perlis,"MO Q Sport Arena, Jalan Kampung Bakau - Padang Behor, Kampung Sena, 01000 Kangar, Perlis",Badminton
54,All In Sport Centre,Perlis,"No 1, Lot 2018 Kawasan Industri, Jalan Jejawi Sematang, Kampung Jejawi, 02600, Perlis",Badminton
55,Kompleks Sukan dan Komuniti Sungai Siput,Perak,"36, Happy garden, Kampung Veerasamy, 31100 Sungai Siput, Perak","Badminton, Futsal"
56,Asia Futsal Center,Perak,"Kampung Matang Jelutong, 34300 Bagan Serai, Perak","Badminton, Futsal"
57,Kompleks Sukan Tapah,Perak,"Lot 499, Persiaran Wallagonia, 35400 Tapah Road, Perak","Badminton, Futsal"
58,Arena Square Kampung Tanjung Keramat,Perak,"17, Jalan Kampar Changkat Jong, Kampung Tanjong Keramat, 35350 Temoh, Perak",Badminton
59,Gelanggang Futsal Bukit Gantang,Perak,"34850 Changkat Jering, Perak","Badminton, Futsal"
60,Sportizza Futsal Arena Menglembu,Perak,"Jalan Lahat, Kawasan Perusahaan Menglembu, 31450 Ipoh, Perak",Futsal
61,Manjung Indoor Sports Arena,Perak,"13, 1, Jalan SM 1d/1, 32200 Lumut, Perak","Badminton, Futsal"
62,Dss Futsal Centre,Perak,"Jalan Wawasan Industri 5, Bandar Behrang, 35900 Tanjong Malim, Perak",Futsal
63,Dynamic Futsal,Perak,"Lebuhraya Ipoh-Lumut, Kampung Jalan Bota, 32600 Pusing, Perak",Futsal
64,Falim Sports Centre,Perak,"A-2-1, Kompleks Falim, Laluan Falim 2A, Taman Falim Indah, 30200 Ipoh, Perak",Badminton
65,MP3 Sports Centre,Perak,"Jalan PPMP 1, Pusat Perniagaan Manjung Point, 32040 Seri Manjung, Perak",Badminton
66,Sport Complex Grand Kampar,Perak,"Lot 17813, Jalan Batu Karang, Taman Bandar Baru, 31900 Kampar, Perak","Badminton, Futsal"
67,Anson Sport Centre,Perak,"36000 Teluk Intan, Perak",Badminton
68,Kampar Badminton Sentral,Perak,"21, Laluan Batu Sinar 1, Kampar Sentral, 31900 Kampar, Perak",Badminton
69,X Park Sunway City Ipoh,Perak,"No, 1, Persiaran Lagun, Sunway City, 31150 Ipoh, Perak","Badminton, Futsal"
70,Yc Badminton Centre,Perak,"322, Jalan Pokok Assam, Taman Raja Idris, 34000 Taiping, Perak",Badminton
71,3D Futsal Centre,Perak,"Lot 523, Kawasan Perindustrian Kuala Kangsar, Kuala Kangsar, Malaysia",Futsal
72,Younique Sports Ampang Ipoh,Perak,"6c, Jalan Ampang, Kampung Ampang Baru, 31350 Ipoh, Perak",Badminton
