NUMBER,NAME,LOCATION,ADDRESS,COURT
208,Dewan Badminton Dato' Dr. Mohd Sulaiman,Terengganu,"591, Jalan Pasir Panjang, Kampung Pasir Panjang, 21080 Kuala Terengganu, Terengganu",Badminton
209,Dewan Badminton Seri Nilam,Terengganu,"Lot 2616, Kampung Makam Lama, 21000 Kuala Terengganu, Terengganu",Badminton
210,Maecon Sport Centre,Terengganu,"Kampung Ru Lima, 21600 Marang, Terengganu","Badminton, Futsal"
211,BBBM Badminton Court,Terengganu,"Bandar Baru Bukit Mentok, 24000 Chukai, Terengganu",Badminton
212,Kompleks Sukan Bukit Kiara,Kuala Lumpur,"Kompleks Sukan Bukit Kiara, 3959, Jalan 1/70d, Bukit Kiara, 60000 Kuala Lumpur, Bukit Kiara","Badminton, Futsal"
213,Kompleks Sukan Setiawangsa,Kuala Lumpur,"Jalan 6/27a, Wangsa Maju, 54200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Badminton
214,Kompleks Sukan Jalan Duta,Kuala Lumpur,"Bukit Tunku, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur",Tennis
215,Kompleks MSN Jalan Raja Muda (SJRM),Kuala Lumpur,"Kampung Baru, 50300 Kuala Lumpur, Federal Territory of Kuala Lumpur",Badminton
216,KOMBES KL,Kuala Lumpur,"4029, Jalan Kampung Pandan, 55100 Kuala Lumpur, Malaysia","Futsal, Tennis"
217,Kompleks Sukan Kampong Pandan,Kuala Lumpur,"4032, Jalan Kampung Pandan, Maluri, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","Futsal, Tennis"
218,Mini Stadium Taman Pancarona,Kuala Lumpur,"Jalan P18, Presint 18, 62150 Putrajaya, Wilayah Persekutuan Putrajaya","Futsal, Volleyball"
219,Lavana Sports Centre,Kuala Lumpur,"Lot 1617, Jalan Genting Kelang, Taman Danau Kota, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Badminton
220,Kompleks Sukan Bangsar,Kuala Lumpur,"3, Jalan Terasek 3, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","Badminton, Futsal, Tennis"
221,CK Sports Centre,Kuala Lumpur,"51, Jalan Tago 2, Taman Perindustrian Tago, 52000 Kuala Lumpur, Wilayah Persekutuan",Badminton
222,Pusat Sukan Desa Petaling,Kuala Lumpur,"Jalan 6/125d, Taman Desa Petaling, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Badminton
223,Ace Sports World,Kuala Lumpur,"3, Jalan 7A/62A, Bandar Menjalara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","Badminton, Futsal"
224,Sports Arena Sentosa,Kuala Lumpur,"Sports Arena Sentosa, Jalan Sri Sentosa 2a, Taman Sri Sentosa, 58000 Kuala Lumpur, Federal Territory of Kuala Lumpur","Badminton, Futsal"
225,SLK Badminton Centre,Kuala Lumpur,"CenterMart @ Setapak, Jalan Usahawan 3, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Badminton
226,Forum Pudu,Kuala Lumpur,"71a, Jalan Pasar, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Badminton
227,Matrik Shuttle Court,Kuala Lumpur,"315-6 Jalan Sungai Besi, &, Jalan Foss, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Badminton
228,KSL Futsal Sport Centre,Kuala Lumpur,"73, 53, Jalan 3/23a, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","Badminton, Futsal"
229,Sports Centre Wangsa Maju Section 5,Kuala Lumpur,"72, Jalan 10/27a, Wangsa Maju, 54200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","Squash, Tennis"
230,Younique Sports Pudu Plaza,Kuala Lumpur,"2, Jalan Landak, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur Pudu Plaza Shopping Centre",Badminton
231,Bubble Sports Complex Cheras,Kuala Lumpur,"Lot 44621, Jalan Perdana 1, Taman Segar Perdana, 43200 Cheras, Selangor","Badminton, Futsal"
232,Centre Mart Futsal Centre,Kuala Lumpur,"Jalan Usahawan 3/23A, Jalan Genting Klang, 53300, Kuala Lumpur, WP Kuala Lumpur, 53300",Futsal
233,OUG Shuttle Bug Sports Center,Kuala Lumpur,"4th floor Market Place, 2, Jalan Hujan Rahmat, Taman OUG, 58200 Kuala Lumpur, Federal Territory of Kuala Lumpur",Badminton
234,KAS Kepong Arena Sports,Kuala Lumpur,"No.2, Jalan 5/32A, Off Batu 6, 1/2, Jln Kepong, 52100 Kuala Lumpur",Badminton
235,Sport Seven Futsal Centre,Kuala Lumpur,"Wangsa Maju, 53300 Kuala Lumpur, Federal Territory of Kuala Lumpur",Futsal
236,Pro One Badminton Centre,Kuala Lumpur,"Lot 6302, Jalan 2/27A, Off Jalan Usahawan, Bandar Baru Wangsa Maju, 53100, Kuala Lumpur, WP Kuala Lumpur, 53300",Badminton
237,Setapak Badminton Centre,Kuala Lumpur,"30488 Lot Lama, Jalan Usahawan 6, 53200, Wilayah Persekutuan Kuala Lumpur",Badminton
238,Shuttle Bug Badminton Hall,Kuala Lumpur,"23A, Jalan Hujan Rahmat, Taman Overseas Union, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Badminton
239,Starplus Badminton Centre,Kuala Lumpur,"No.19 & 21, Industrial Area, Jalan 6/37a, Kawasan Perusahaan Taman Bukit Maluri, 52100 Kuala Lumpur, Federal Territory of Kuala Lumpur",Badminton
240,IOI Sports Centre,Kuala Lumpur,"2AT-10,Level 4, East Wing Lebuh IRC, IOI Resort City Putrajaya, 62502 Sepang, Putrajaya","Badminton, Futsal"
241,Avenger Sports Arena,Kuala Lumpur,"Jalan Perdana 4/8 & Jalan Perdana 4/3, Pandan Perdana, 55300 Kuala Lumpur","Badminton, Futsal"
242,Kompleks Sukan Negara Shah Alam(Panasonic),Selangor,"Persiaran Perkilangan, Seksyen 21, 40300 Shah Alam, Selangor","Badminton, Futsal, Tennis"
243,Frenzy Sports Arena,Selangor,"Jalan Lada Sulah 16/11, Seksyen 16, 40200 Shah Alam, Selangor",Futsal
244,Kompleks Arena Petaling Jaya,Selangor,"Pjs 3, 46000 Petaling Jaya, Selangor",Futsal
245,Michael's Badminton Academy,Selangor,"Dewan Badminton MBA, Multi Storey Car Park, Level RF, Jalan BP 7/11, Bandar Bukit Puchong, 47120 Puchong, Selangor",Badminton
246,Ksl Sport Center Gombak,Selangor,"Lot 37570, Jalan Makmur, Taman Sri Gombak, 68100 Batu Caves, Selangor",Futsal
247,Real Sports Arena,Selangor,"1256, 1, Jalan Sungai Bertih & Off Telok Gadong Road, Kampung Sungai Udang, 41100 Klang, Selangor",Futsal
248,Athlon De Futsal,Selangor,"PT2517, Jalan Perusahaan, 1, Zon IKSE, 45000 Kuala Selangor, Selangor",Futsal
249,DMS Sports Centre,Selangor,"LOT 897, Dataran Dato Mohd Said, DMS Sports, Rinching Tengah, 43700 Beranang, Selangor","Badminton, Futsal"
250,Semenyih Sports Centre,Selangor,"Lot. 29952, Jln Bangi, Bt. 1 1/2, 43500 Semenyih, Selangor, 43500 Semenyih, Selangor","Badminton, Futsal"
251,The Challenger Sports Centre PJ,Selangor,"118, Jalan Professor Khoo Kay Kim, Seksyen 19, 46300 Petaling Jaya, Selangor","Badminton, Futsal"
252,222 Sports Centre PJ,Selangor,"2, Jalan 51a/225, Seksyen 51a, 46100 Petaling Jaya, Selangor","Badminton, Futsal, Volleyball"
253,Zelka Sports Centre,Selangor,"Wisma Zelka, Jln BK 1/13, Bandar Kinrara 1, 47100 Puchong, Selangor","Badminton, Futsal"
254,Forum 19,Selangor,"Lot 1, Jalan 19/1b, Seksyen 19, 46300 Petaling Jaya, Selangor","Badminton, Futsal"
255,Central Park Dataran Sunway,Selangor,"Dataran Sunway, 47810 Petaling Jaya, Selangor","Badminton, Futsal"
256,Sportizza Badminton Balakong,Selangor,"43200 Cheras, Selangor",Badminton
257,RKS Sports Centre,Selangor,"Evolve Concept Mall, Jalan PJU 1a/4, Ara Damansara, 47301 Petaling Jaya, Selangor",Futsal
258,White Fairy Futsal & Badminton Court,Selangor,"Jalan Taman Kinrara, Taman Kinrara, 47190 Puchong, Selangor","Badminton, Futsal"
259,NPNG Sports Centre,Selangor,"Jalan PJU 10/1a, Damansara Damai, 47830 Petaling Jaya, Selangor",Futsal
260,Brothers Futsal Centre,Selangor,"Jalan Petola, Kampung Raja Uda, 42000 Klang, Selangor",Futsal
261,Uptown Sports,Selangor,"76828, Jln Angsana, 43650 Bandar Baru Bangi, Selangor","Badminton, Volleyball"
262,Sport Centre 88,Selangor,"17, Jalan Tiaj 2/1, Taman Industri Alam Jaya, 42300 Bandar Puncak Alam, Selangor","Badminton, Futsal"
263,Sport 100 Badminton Center,Selangor,"Lot 2587, Jalan Seruling 59/KS2, Taman Klang Jaya, 41200 Klang, Selangor",Badminton
264,TJH Sport Centre,Selangor,"5, Jalan Kontraktor U1/14, Hicom-glenmarie Industrial Park, 40150 Shah Alam, Selangor",Badminton
265,De Xcellent Sport Centre,Selangor,"Lot 20481, Lorong Permai 1i, Taman Kota Pendamar, 42000 Pelabuhan Klang, Selangor",Badminton
266,Puchong Sport Center,Selangor,"Jalan PU 1/20A, Taman Puchong Utama, 47100 Puchong, Selangor",Badminton
267,KSL Sports Puchong,Selangor,"Lot 5225, 4, Jalan Puchong Utama 7e, Taman Puchong Utama, 47100 Puchong, Selangor","Badminton, Futsal"
268,U One Sport Centre,Selangor,"Persiaran Bukit Raja 1, Bandar Baru Klang, 41150 Klang, Selangor","Badminton, Futsal"
269,Sports Garage,Selangor,"The Annex, 4, Jalan 19/1, Seksyen 19, 46300 Petaling Jaya, Selangor",Futsal
270,Elements Badminton Court,Selangor,"11, Jalan TP 6, Taman Perindustrian Uep, 47600 Subang Jaya, Selangor",Badminton
271,Sport Heroes,Selangor,"No 8 Jalan TSB 1 Taman Industri Sungai Buloh, Kota Damansara, 47000 Petaling Jaya, Selangor",Badminton
272,89 Arena Klang,Selangor,"Lot 10998, Jalan Sungai Jati, 41000 Klang","Badminton, Futsal"
273,Kingsport Centre Miri,Sarawak,"Jln Sena, 98000 Miri, Sarawak","Badminton, Futsal"
274,Sentosa Sports Centre,Sarawak,"Block 17, Lot 310, Jalan Stakan, Batu 7, Kota Sentosa, Kota Sentosa, 93250 Kuching, Sarawak","Badminton, Futsal"
275,Arena Sukan,Sarawak,"Lots 4967 & 603, Block 11, MTLD, Q112B, 93350 Kuching, Sarawak","Badminton, Futsal"
276,Winner Court,Sarawak,"1559, Jalan Burung Lilin, Everbright Park, 93250 Kuching, Sarawak","Badminton, Futsal"
277,Tun Tuanku Haji Bujang Arena,Sarawak,"Jln Kapur, 94300 Kota Samarahan, Sarawak","Badminton, Futsal, Squash"
278,B & G Sport Centre,Sarawak,"Jln Pisang Embun, 97000 Bintulu, Sarawak",Badminton
279,Star Sports Complex Sdn Bhd,Sarawak,"Lutong, 98000 Miri, Sarawak",Badminton
280,Super Sport Arena Samarahan,Sarawak,"Samarahan, 94300 Kota Samarahan, Sarawak",Badminton
281,Tung Sports Badminton Hall,Sarawak,"Lot 497, Jalan Pujut, Q645, 98000 Miri, Sarawak",Badminton
282,TN SPORTS,Sarawak,"Jalan Temple, Sibu, 96000 Sibu, Sarawak",Badminton
283,Kenyalang Futsal Excellence Centre Bintulu,Sarawak,"14, Lorong 1, Taman Kemena Raya, 97000 Bintulu, Sarawak",Futsal
284,Dewan Badminton Stapok,Sarawak,"Lot 581, Block 207, Jalan Ensing, Taman Stapok, 93250 Kuching, Sarawak",Badminton
285,Champion Futsal Court,Sarawak,"Lot 6809, Jalan Riam, 98000 Miri, Sarawak",Futsal
286,Saturn Futsal,Sarawak,"97000 Bintulu, Sarawak",Futsal
287,Infinity Sports Arena,Sabah,"Jln Inanam Laut, 88740 Kota Kinabalu, Sabah",Badminton
288,OJS Centre,Sabah,"89100 Kota Marudu, Sabah","Badminton, Futsal"
289,Dynason Badminton Court,Sabah,"90000 Lahad Datu, Sabah",Badminton
290,Olympia Badminton Arena,Sabah,"Lrg Minyak, 88400 Kota Kinabalu, Sabah",Badminton
291,ii sports centre,Sabah,"Hse 35, Lot 27, Jalan Kilang, Kolombong, 88450 Kota Kinabalu, Sabah",Badminton
292,AI Legacy Badminton Centre,Sabah,"6136, Jalan Sin Onn, 91000 Tawau, Sabah",Badminton
293,Borneo Sports Arena,Sabah,"Jalan Mangga, Kelombong, 88450 Kota Kinabalu, Sabah",Futsal
294,Yayasan Sabah Badminton Court,Sabah,"88400 Kota Kinabalu, Sabah",Badminton
295,Juara Badminton Arena,Sabah,"Jalan Ketiau Tombovo, 88200 Putatan, Sabah",Badminton
296,My Futsal Club,Sabah,"Jalan Putatan Ramayah, Bandar Putatan, 89500 Putatan, Sabah","Badminton, Futsal"
297,UTC Sabah Futsal Court,Sabah,"5, Jalan Sembulan Lama, Kampung Sembulan, 88100 Kota Kinabalu, Sabah",Futsal
298,Futsal Yayasan Sabah,Sabah,"88400 Kota Kinabalu, Sabah",Futsal
299,One Sports Badminton Tawau,Sabah,"Godown LOT No 5, Mile 3.1/2, Jalan Sungai Tanjung, Sin Onn Utara, 91000 Tawau, Sabah",Badminton
300,Juara Futsal Arena,Sabah,"Jalan Ketiau Tombovo, 88200 Putatan, Sabah",Futsal
